Tri?u ch?ng,Khoa,T? v?n
"C?m giác khó ch?u, m?t cân b?ng khi ?i thang máy ho?c xe h?i",M?t,"C?m giác khó ch?u, m?t cân b?ng khi ?i thang máy ho?c xe h?i,M?t"
"M?t ??, s?ng, khó nhìn rõ khi b? d? ?ng v?i th?c ?n ho?c thu?c",M?t,"M?t ??, s?ng, khó nhìn rõ khi b? d? ?ng v?i th?c ?n ho?c thu?c,M?t"
"?au kh?p g?i, s?ng ??",X??ng kh?p,"?au kh?p g?i, s?ng ??,X??ng kh?p"
"?au c? tay, tê bì",X??ng kh?p,"?au c? tay, tê bì,X??ng kh?p"
"?au kh?p háng, khó di chuy?n",X??ng kh?p,"?au kh?p háng, khó di chuy?n,X??ng kh?p"
"?au vai, c? tay và c?",X??ng kh?p,"?au vai, c? tay và c?,X??ng kh?p"
"?au kh?p ngón tay, khó kh?n trong vi?c c?m n?m v?t d?ng",X??ng kh?p,"?au kh?p ngón tay, khó kh?n trong vi?c c?m n?m v?t d?ng,X??ng kh?p"
"S?ng kh?p, ?au nh?c toàn thân",X??ng kh?p,"S?ng kh?p, ?au nh?c toàn thân,X??ng kh?p"
"?au c? chân, khó ?i l?i",X??ng kh?p,"?au c? chân, khó ?i l?i,X??ng kh?p"
"?au kh?p ??u g?i, khó kh?n trong vi?c leo c?u thang",X??ng kh?p,"?au kh?p ??u g?i, khó kh?n trong vi?c leo c?u thang,X??ng kh?p"
"?au kh?p m?t cá chân, khó di chuy?n",X??ng kh?p,"?au kh?p m?t cá chân, khó di chuy?n,X??ng kh?p"
"?au kh?p ngón chân, khó di chuy?n",X??ng kh?p,"?au kh?p ngón chân, khó di chuy?n,X??ng kh?p"
"S?ng kh?p, ?au nh?c kh?p chân",X??ng kh?p,"S?ng kh?p, ?au nh?c kh?p chân,X??ng kh?p"
"?au kh?p c?, l?ng và vai",X??ng kh?p,"?au kh?p c?, l?ng và vai,X??ng kh?p"
"?au kh?p ??u g?i, b? giãn c?",X??ng kh?p,"?au kh?p ??u g?i, b? giãn c?,X??ng kh?p"
?au kh?p khác nhau trên c? th?,X??ng kh?p,"?au kh?p khác nhau trên c? th?,X??ng kh?p"
"?au kh?p hông, khó di chuy?n",X??ng kh?p,"?au kh?p hông, khó di chuy?n,X??ng kh?p"
"?au kh?p bàn tay, khó kh?n trong vi?c c?m v?t",X??ng kh?p,"?au kh?p bàn tay, khó kh?n trong vi?c c?m v?t,X??ng kh?p"
"?au kh?p m?t cá chân, s?ng ??",X??ng kh?p,"?au kh?p m?t cá chân, s?ng ??,X??ng kh?p"
"S?ng kh?p, ?au nh?c kh?p tay",X??ng kh?p,"S?ng kh?p, ?au nh?c kh?p tay,X??ng kh?p"
"?au kh?p ngón tay, tê bì",X??ng kh?p,"?au kh?p ngón tay, tê bì,X??ng kh?p"
"?au kh?p bàn chân, s?ng ??",X??ng kh?p,"?au kh?p bàn chân, s?ng ??,X??ng kh?p"
"?au kh?p vai, khó di chuy?n",X??ng kh?p,"?au kh?p vai, khó di chuy?n,X??ng kh?p"
"?au kh?p m?t cá chân, khó kh?n trong vi?c di chuy?n",X??ng kh?p,"?au kh?p m?t cá chân, khó kh?n trong vi?c di chuy?n,X??ng kh?p"
"S?ng kh?p, ?au nh?c toàn thân",X??ng kh?p,"S?ng kh?p, ?au nh?c toàn thân,X??ng kh?p"
"?au kh?p ??u g?i, khó kh?n trong vi?c ??ng lâu",X??ng kh?p,"?au kh?p ??u g?i, khó kh?n trong vi?c ??ng lâu,X??ng kh?p"
"?au kh?p c? tay, khó kh?n trong vi?c v?n ??ng",X??ng kh?p,"?au kh?p c? tay, khó kh?n trong vi?c v?n ??ng,X??ng kh?p"
"?au kh?p ngón chân, khó kh?n trong vi?c ?i b?",X??ng kh?p,"?au kh?p ngón chân, khó kh?n trong vi?c ?i b?,X??ng kh?p"
"S?ng kh?p, ?au nh?c kh?p chân",X??ng kh?p,"S?ng kh?p, ?au nh?c kh?p chân,X??ng kh?p"
"?au kh?p c? chân, khó di chuy?n",X??ng kh?p,"?au kh?p c? chân, khó di chuy?n,X??ng kh?p"
"?au kh?p ??u g?i, s?ng ??",X??ng kh?p,"?au kh?p ??u g?i, s?ng ??,X??ng kh?p"
?au kh?p khác nhau trên c? th?,X??ng kh?p,"?au kh?p khác nhau trên c? th?,X??ng kh?p"
"?au kh?p c? tay, tê bì",X??ng kh?p,"?au kh?p c? tay, tê bì,X??ng kh?p"
"?au kh?p ngón tay, khó kh?n trong vi?c c?m n?m",X??ng kh?p,"?au kh?p ngón tay, khó kh?n trong vi?c c?m n?m,X??ng kh?p"
"S?ng kh?p, ?au nh?c toàn thân",X??ng kh?p,"S?ng kh?p, ?au nh?c toàn thân,X??ng kh?p"
"?au kh?p c?, l?ng và vai",X??ng kh?p,"?au kh?p c?, l?ng và vai,X??ng kh?p"
"?au kh?p hông, khó di chuy?n",X??ng kh?p,"?au kh?p hông, khó di chuy?n,X??ng kh?p"
"?au kh?p m?t cá chân, b? giãn c?",X??ng kh?p,"?au kh?p m?t cá chân, b? giãn c?,X??ng kh?p"
"?au kh?p ngón chân, khó di chuy?n",X??ng kh?p,"?au kh?p ngón chân, khó di chuy?n,X??ng kh?p"
"S?ng kh?p, ?au nh?c kh?p tay",X??ng kh?p,"S?ng kh?p, ?au nh?c kh?p tay,X??ng kh?p"
?au kh?p ??u g?i,X??ng kh?p,"?au kh?p ??u g?i,X??ng kh?p"
"?au kh?p c? chân, khó kh?n trong vi?c t?p th? d?c",X??ng kh?p,"?au kh?p c? chân, khó kh?n trong vi?c t?p th? d?c,X??ng kh?p"
"S?ng kh?p, ?au nh?c toàn thân, ??c bi?t là bu?i sáng",X??ng kh?p,"S?ng kh?p, ?au nh?c toàn thân, ??c bi?t là bu?i sáng,X??ng kh?p"
"?au kh?p vai, c? tay và ??u g?i",X??ng kh?p,"?au kh?p vai, c? tay và ??u g?i,X??ng kh?p"
"?au kh?p ngón tay, khó kh?n trong vi?c v?n ??ng",X??ng kh?p,"?au kh?p ngón tay, khó kh?n trong vi?c v?n ??ng,X??ng kh?p"
"?au kh?p m?t cá chân, khó di chuy?n trên ??a hình không b?ng ph?ng",X??ng kh?p,"?au kh?p m?t cá chân, khó di chuy?n trên ??a hình không b?ng ph?ng,X??ng kh?p"
"S?ng kh?p, ?au nh?c kh?p c? chân và ??u g?i",X??ng kh?p,"S?ng kh?p, ?au nh?c kh?p c? chân và ??u g?i,X??ng kh?p"
"?au kh?p bàn tay, khó kh?n trong vi?c th?c hi?n các công vi?c hàng ngày nh? n?u ?n, v? sinh",X??ng kh?p,"?au kh?p bàn tay, khó kh?n trong vi?c th?c hi?n các công vi?c hàng ngày nh? n?u ?n, v? sinh,X??ng kh?p"
"?au kh?p hông, c?m giác khó ch?u khi n?m nhi?u gi? li?n",X??ng kh?p,"?au kh?p hông, c?m giác khó ch?u khi n?m nhi?u gi? li?n,X??ng kh?p"
"S?ng kh?p, ?au nh?c kh?p vai và c? tay",X??ng kh?p,"S?ng kh?p, ?au nh?c kh?p vai và c? tay,X??ng kh?p"
"?au kh?p ??u g?i, khó kh?n trong vi?c ch?y và nh?y.",X??ng kh?p,"?au kh?p ??u g?i, khó kh?n trong vi?c ch?y và nh?y.,X??ng kh?p"
"?au kh?p c? tay, khó kh?n trong vi?c s? d?ng máy tính ho?c ?i?n tho?i di ??ng",X??ng kh?p,"?au kh?p c? tay, khó kh?n trong vi?c s? d?ng máy tính ho?c ?i?n tho?i di ??ng,X??ng kh?p"
"S?ng kh?p, ?au nh?c kh?p c? tay và ngón tay",X??ng kh?p,"S?ng kh?p, ?au nh?c kh?p c? tay và ngón tay,X??ng kh?p"
"?au kh?p ngón tay cái, khó kh?n trong vi?c c?m v?t n?ng",X??ng kh?p,"?au kh?p ngón tay cái, khó kh?n trong vi?c c?m v?t n?ng,X??ng kh?p"
"?au kh?p g?i, khó kh?n trong vi?c leo c?u thang ho?c ?i b? trên ??a hình d?c",X??ng kh?p,"?au kh?p g?i, khó kh?n trong vi?c leo c?u thang ho?c ?i b? trên ??a hình d?c,X??ng kh?p"
"S?ng kh?p, ?au nh?c kh?p c? và vai",X??ng kh?p,"S?ng kh?p, ?au nh?c kh?p c? và vai,X??ng kh?p"
"?au kh?p c? chân, khó kh?n trong vi?c ?i b? ho?c ch?y",X??ng kh?p,"?au kh?p c? chân, khó kh?n trong vi?c ?i b? ho?c ch?y,X??ng kh?p"
"?au kh?p ngón chân cái, khó kh?n trong vi?c mang giày cao gót ho?c giày th? thao",X??ng kh?p,"?au kh?p ngón chân cái, khó kh?n trong vi?c mang giày cao gót ho?c giày th? thao,X??ng kh?p"
"S?ng kh?p, ?au nh?c kh?p khác nhau trên c? th?",X??ng kh?p,"S?ng kh?p, ?au nh?c kh?p khác nhau trên c? th?,X??ng kh?p"
"?au kh?p c? tay và bàn tay, khó kh?n trong vi?c th?c hi?n các công vi?c c?n s? tinh t? nh? vi?c v? tranh ho?c ?ánh ?àn",X??ng kh?p,"?au kh?p c? tay và bàn tay, khó kh?n trong vi?c th?c hi?n các công vi?c c?n s? tinh t? nh? vi?c v? tranh ho?c ?ánh ?àn,X??ng kh?p"
"?au kh?p c? tay và bàn tay, khó kh?n trong vi?c th?c hi?n các công vi?c c?n s? t?p trung và chính xác nh? làm vi?c v?i máy móc.",X??ng kh?p,"?au kh?p c? tay và bàn tay, khó kh?n trong vi?c th?c hi?n các công vi?c c?n s? t?p trung và chính xác nh? làm vi?c v?i máy móc.,X??ng kh?p"
